,children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose,family_status_factorize,total_income_categorical,total_income_categorical_factorize,purpose_factorize,dob_years_categorical,days_employed_categorical
6188,0,0.6156424574823067,52,среднее,1,женат / замужем,0,F,компаньон,0,185740.4392873909,жильё,0,50-75%,2,0,50-75%,75-100%
6189,0,0.019587580907894583,53,среднее,1,женат / замужем,0,M,сотрудник,0,80571.6665171512,автомобиль,0,0-25%,3,1,75-100%,0-25%
6190,0,0.36521847717822475,60,среднее,1,вдовец / вдова,2,M,сотрудник,1,257949.31669972872,автомобиль,2,75-100%,0,1,75-100%,50-75%
6191,0,31.760854550114885,58,среднее,1,женат / замужем,0,M,пенсионер,0,146550.54695872028,образование,0,50-75%,2,2,75-100%,75-100%
6192,2,0.08111075022820373,30,среднее,1,женат / замужем,0,M,сотрудник,0,139038.0568346165,образование,0,25-50%,1,2,0-25%,0-25%
6193,0,0.3269533854721925,51,среднее,1,женат / замужем,0,M,сотрудник,0,95632.99040402788,жильё,0,0-25%,3,0,50-75%,50-75%
6194,0,0.043635493009721145,28,среднее,1,гражданский брак,1,M,сотрудник,0,125532.0448758524,жильё,1,25-50%,1,0,0-25%,0-25%
6195,0,0.39546860405198087,48,среднее,1,гражданский брак,1,F,сотрудник,0,96257.0350643492,свадьба,1,0-25%,3,3,50-75%,50-75%
6196,2,0.21415185894381789,43,высшее,0,гражданский брак,1,F,госслужащий,0,289327.88145781576,свадьба,1,75-100%,0,3,50-75%,50-75%
6197,0,30.06485011837699,62,среднее,1,женат / замужем,0,F,пенсионер,0,84798.74827114238,образование,0,0-25%,3,2,75-100%,75-100%
6199,0,0.0637827789402255,66,среднее,1,женат / замужем,0,M,компаньон,0,108847.63707873784,жильё,0,25-50%,1,0,75-100%,0-25%
6200,0,0.9126093207725882,47,среднее,1,женат / замужем,0,F,госслужащий,0,141908.1319025728,автомобиль,0,25-50%,1,1,50-75%,75-100%
6201,0,0.8135545996312803,44,высшее,0,женат / замужем,0,F,сотрудник,0,88335.55974542293,жильё,0,0-25%,3,0,50-75%,75-100%
6202,1,0.19606851306697362,36,начальное,3,женат / замужем,0,F,компаньон,0,273306.18053389725,жильё,0,75-100%,0,0,25-50%,25-50%
6203,1,0.024717884585954798,50,среднее,1,женат / замужем,0,F,сотрудник,1,89669.13740322136,автомобиль,0,0-25%,3,1,50-75%,0-25%
6204,0,0.04777985667679075,55,среднее,1,женат / замужем,0,F,компаньон,0,146407.88255196257,автомобиль,0,50-75%,2,1,75-100%,0-25%
6205,0,0.17270925310436197,54,среднее,1,женат / замужем,0,F,компаньон,0,140022.17925465034,жильё,0,25-50%,1,0,75-100%,25-50%
6206,0,0.14669072160254346,25,среднее,1,женат / замужем,0,F,сотрудник,0,103166.4991868792,автомобиль,0,25-50%,1,1,0-25%,25-50%
6207,0,36.31039390271892,63,высшее,0,гражданский брак,1,F,пенсионер,0,86216.22055952734,свадьба,1,0-25%,3,3,75-100%,75-100%
6208,0,0.21036859748458347,54,среднее,1,женат / замужем,0,M,сотрудник,0,167676.5284510795,образование,0,50-75%,2,2,75-100%,50-75%
6209,0,0.6184742055016845,70,среднее,1,гражданский брак,1,F,компаньон,0,183679.0438213892,свадьба,1,50-75%,2,3,75-100%,75-100%
6210,0,0.15200275674560282,30,среднее,1,Не женат / не замужем,4,F,компаньон,0,69702.47822013531,жильё,4,0-25%,3,0,0-25%,25-50%
6211,2,0.12148707129095904,38,среднее,1,женат / замужем,0,M,сотрудник,0,66751.15133705268,образование,0,0-25%,3,2,25-50%,25-50%
6212,0,0.1753895834665782,56,среднее,1,женат / замужем,0,M,компаньон,0,112789.67222135472,жильё,0,25-50%,1,0,75-100%,25-50%
6213,0,0.41651877090655987,49,среднее,1,женат / замужем,0,F,сотрудник,1,185214.6543684213,образование,0,50-75%,2,2,50-75%,50-75%
6214,1,0.7736106358874292,42,среднее,1,женат / замужем,0,M,сотрудник,0,197779.3567665759,жильё,0,50-75%,2,0,50-75%,75-100%
6216,0,0.09661251228639366,31,высшее,0,женат / замужем,0,F,сотрудник,0,154416.9547883883,жильё,0,50-75%,2,0,0-25%,25-50%
6218,0,0.146281664925177,31,среднее,1,Не женат / не замужем,4,M,сотрудник,0,66592.5481067054,жильё,4,0-25%,3,0,0-25%,25-50%
6219,3,0.02937356685181907,37,высшее,0,гражданский брак,1,F,компаньон,0,172214.36399804146,жильё,1,50-75%,2,0,25-50%,0-25%
6220,0,0.15631696815737428,51,высшее,0,гражданский брак,1,F,компаньон,0,138315.05693415538,автомобиль,1,25-50%,1,1,50-75%,25-50%
6221,0,35.5531569861934,72,среднее,1,вдовец / вдова,2,F,пенсионер,0,66919.69965764908,жильё,2,0-25%,3,0,75-100%,75-100%
6222,1,0.0909177810304029,33,неоконченное высшее,2,женат / замужем,0,F,компаньон,0,103338.51815054336,образование,0,25-50%,1,2,25-50%,25-50%
6223,1,0.03923112308605126,42,неоконченное высшее,2,гражданский брак,1,F,сотрудник,0,241921.13687909784,образование,1,75-100%,0,2,50-75%,0-25%
6224,0,0.08279022654407572,39,среднее,1,в разводе,3,M,сотрудник,0,271847.94990104897,автомобиль,3,75-100%,0,1,25-50%,0-25%
6225,2,0.1145463272308884,32,среднее,1,женат / замужем,0,M,компаньон,0,99620.52994970408,автомобиль,0,0-25%,3,1,0-25%,25-50%
6226,1,0.0706698934665948,34,среднее,1,женат / замужем,0,M,сотрудник,0,127128.31045672974,жильё,0,25-50%,1,0,25-50%,0-25%
6227,0,0.10625504850196314,51,высшее,0,женат / замужем,0,F,сотрудник,0,295230.1499364748,жильё,0,75-100%,0,0,50-75%,25-50%
6228,0,33.44702388375633,55,среднее,1,женат / замужем,0,F,пенсионер,0,170988.08753019592,жильё,0,50-75%,2,0,75-100%,75-100%
6229,0,0.12246313372227877,51,среднее,1,женат / замужем,0,M,сотрудник,0,81666.45170256616,жильё,0,0-25%,3,0,50-75%,25-50%
6230,2,0.04025724056833316,31,среднее,1,женат / замужем,0,M,сотрудник,0,62260.54346683963,жильё,0,0-25%,3,0,0-25%,0-25%
6231,1,0.022290635198785536,30,высшее,0,в разводе,3,F,компаньон,0,394877.4661518018,жильё,3,75-100%,0,0,0-25%,0-25%
6232,0,32.398591022603206,57,среднее,1,женат / замужем,0,F,пенсионер,0,83707.78902496141,автомобиль,0,0-25%,3,1,75-100%,75-100%
6233,0,31.0647993016138,66,среднее,1,женат / замужем,0,F,пенсионер,0,160309.86400194597,жильё,0,50-75%,2,0,75-100%,75-100%
6234,0,30.595518420951528,56,среднее,1,женат / замужем,0,F,пенсионер,0,229226.5460849793,образование,0,75-100%,0,2,75-100%,75-100%
6235,0,0.37001375645169415,38,среднее,1,женат / замужем,0,F,сотрудник,0,151405.7524842361,автомобиль,0,50-75%,2,1,25-50%,50-75%
6236,0,0.3353039465952715,56,среднее,1,женат / замужем,0,F,сотрудник,0,92650.575273208,образование,0,0-25%,3,2,75-100%,50-75%
6238,2,0.11507356211317885,41,высшее,0,женат / замужем,0,M,компаньон,0,118488.8007992562,жильё,0,25-50%,1,0,25-50%,25-50%
6239,0,0.1276400041754174,56,среднее,1,женат / замужем,0,F,компаньон,1,109798.78420913324,жильё,0,25-50%,1,0,75-100%,25-50%
6240,0,36.03463921983281,57,среднее,1,женат / замужем,0,F,пенсионер,0,119256.14141874624,автомобиль,0,25-50%,1,1,75-100%,75-100%
6241,0,0.18110542001675142,31,высшее,0,женат / замужем,0,M,компаньон,0,191951.11532743505,жильё,0,50-75%,2,0,0-25%,25-50%
6242,2,0.1196394973664057,36,неоконченное высшее,2,гражданский брак,1,M,сотрудник,0,168589.72974582374,свадьба,1,50-75%,2,3,25-50%,25-50%
6243,1,0.010296107451797428,39,высшее,0,в разводе,3,M,сотрудник,0,77859.85691331541,образование,3,0-25%,3,2,25-50%,0-25%
6244,0,0.016671367769551818,37,высшее,0,женат / замужем,0,M,сотрудник,0,220627.6305894327,образование,0,75-100%,0,2,25-50%,0-25%
6245,0,32.851750100986656,58,среднее,1,женат / замужем,0,M,пенсионер,0,40802.40548021079,жильё,0,0-25%,3,0,75-100%,75-100%
6246,0,0.026778097367099102,51,среднее,1,женат / замужем,0,M,сотрудник,0,287787.71181710484,жильё,0,75-100%,0,0,50-75%,0-25%
6247,0,33.04982533385751,56,среднее,1,вдовец / вдова,2,F,пенсионер,0,220961.2928736305,жильё,2,75-100%,0,0,75-100%,75-100%
6248,2,0.2581988666935875,52,среднее,1,женат / замужем,0,M,компаньон,0,261253.683261634,жильё,0,75-100%,0,0,50-75%,50-75%
6249,0,0.2810606517579581,28,среднее,1,женат / замужем,0,F,сотрудник,0,168756.2633371194,автомобиль,0,50-75%,2,1,0-25%,50-75%
6250,0,0.5500577446045062,46,среднее,1,вдовец / вдова,2,F,сотрудник,0,178193.82016682075,жильё,2,50-75%,2,0,50-75%,75-100%
6251,3,0.3315309184650961,38,среднее,1,женат / замужем,0,F,сотрудник,0,242161.43977035343,жильё,0,75-100%,0,0,25-50%,50-75%
6252,0,0.6942134234678504,39,среднее,1,Не женат / не замужем,4,F,компаньон,0,174227.2397182667,жильё,4,50-75%,2,0,25-50%,75-100%
6253,2,0.04791961608027189,47,среднее,1,женат / замужем,0,M,сотрудник,0,131056.15662219984,автомобиль,0,25-50%,1,1,50-75%,0-25%
6254,0,0.160163966774372,60,среднее,1,Не женат / не замужем,4,M,сотрудник,0,349668.78649847343,автомобиль,4,75-100%,0,1,75-100%,25-50%
6256,0,0.21784091717702292,26,высшее,0,женат / замужем,0,F,госслужащий,0,131489.18785727868,жильё,0,25-50%,1,0,0-25%,50-75%
6257,0,0.4695803158428176,36,высшее,0,женат / замужем,0,F,сотрудник,0,551844.2430163983,жильё,0,75-100%,0,0,25-50%,50-75%
6258,0,0.016850315991732846,40,среднее,1,женат / замужем,0,M,сотрудник,0,458670.0241279783,образование,0,75-100%,0,2,25-50%,0-25%
6259,0,0.06523617426895865,31,среднее,1,Не женат / не замужем,4,F,компаньон,0,126659.37995526158,автомобиль,4,25-50%,1,1,0-25%,0-25%
6260,0,0.027486617005776023,41,высшее,0,гражданский брак,1,F,сотрудник,0,205948.17389320105,свадьба,1,75-100%,0,3,25-50%,0-25%
6261,0,0.2900618586298104,42,среднее,1,Не женат / не замужем,4,F,компаньон,0,145909.3084767741,образование,4,50-75%,2,2,50-75%,50-75%
6262,0,0.012111071568573273,29,высшее,0,женат / замужем,0,F,госслужащий,1,275670.3112282611,образование,0,75-100%,0,2,0-25%,0-25%
6263,0,0.03487149038293052,58,среднее,1,вдовец / вдова,2,F,сотрудник,0,134163.18665363648,жильё,2,25-50%,1,0,75-100%,0-25%
6265,1,34.08589489704374,66,среднее,1,женат / замужем,0,M,пенсионер,0,61648.413434695394,автомобиль,0,0-25%,3,1,75-100%,75-100%
6266,0,33.68163412746564,57,среднее,1,женат / замужем,0,F,пенсионер,0,51242.11684410727,жильё,0,0-25%,3,0,75-100%,75-100%
6267,0,0.4418240512919094,66,высшее,0,женат / замужем,0,M,госслужащий,0,199903.8524979864,жильё,0,50-75%,2,0,75-100%,50-75%
6268,0,0.18502652893784965,32,высшее,0,гражданский брак,1,F,сотрудник,0,144915.8376052181,автомобиль,1,25-50%,1,1,0-25%,25-50%
6269,0,0.4220123591542307,33,высшее,0,гражданский брак,1,M,компаньон,0,438928.3227142015,свадьба,1,75-100%,0,3,25-50%,50-75%
6270,1,0.27782822682661346,36,среднее,1,женат / замужем,0,F,компаньон,0,162438.3142757949,жильё,0,50-75%,2,0,25-50%,50-75%
6271,0,0.17840775368227274,54,среднее,1,женат / замужем,0,F,сотрудник,0,108199.247231392,образование,0,25-50%,1,2,75-100%,25-50%
6272,0,0.2521903610043138,71,среднее,1,женат / замужем,0,M,компаньон,0,203055.98807345907,автомобиль,0,50-75%,2,1,75-100%,50-75%
6273,0,0.373945269234068,48,среднее,1,женат / замужем,0,F,компаньон,0,288808.5344718286,жильё,0,75-100%,0,0,50-75%,50-75%
6274,2,0.3383500163278546,37,среднее,1,женат / замужем,0,F,компаньон,0,205761.9578159612,жильё,0,75-100%,0,0,25-50%,50-75%
6275,2,0.329812719764391,44,высшее,0,женат / замужем,0,F,компаньон,0,125438.47452530464,жильё,0,25-50%,1,0,50-75%,50-75%
6276,0,0.059048555006061605,29,среднее,1,женат / замужем,0,F,сотрудник,0,129971.86741889572,образование,0,25-50%,1,2,0-25%,0-25%
6277,0,0.9636458573347144,53,среднее,1,женат / замужем,0,F,госслужащий,0,218674.3787970981,автомобиль,0,75-100%,0,1,75-100%,75-100%
6278,0,0.24807907839444085,48,среднее,1,гражданский брак,1,F,сотрудник,0,307516.5549409912,жильё,1,75-100%,0,0,50-75%,50-75%
6279,1,0.10984119117802883,35,среднее,1,женат / замужем,0,F,сотрудник,0,96988.956278609,автомобиль,0,0-25%,3,1,25-50%,25-50%
6280,0,0.010535928263335067,52,среднее,1,женат / замужем,0,F,сотрудник,0,379053.3793270713,образование,0,75-100%,0,2,50-75%,0-25%
6281,0,0.12517615693673056,27,высшее,0,женат / замужем,0,F,сотрудник,0,181793.1346066725,жильё,0,50-75%,2,0,0-25%,25-50%
6282,0,33.206710298619775,55,среднее,1,вдовец / вдова,2,F,пенсионер,0,66204.59086507378,образование,2,0-25%,3,2,75-100%,75-100%
6283,0,0.17472447058594914,43,среднее,1,вдовец / вдова,2,F,сотрудник,0,126955.55950359484,жильё,2,25-50%,1,0,50-75%,25-50%
6284,0,0.10270498881284734,35,среднее,1,женат / замужем,0,F,сотрудник,0,213148.14610749288,автомобиль,0,75-100%,0,1,25-50%,25-50%
6285,0,0.10554438038426,25,неоконченное высшее,2,Не женат / не замужем,4,M,сотрудник,0,145138.0208084529,автомобиль,4,50-75%,2,1,0-25%,25-50%
6286,1,0.3028494806645312,34,среднее,1,вдовец / вдова,2,F,компаньон,1,142239.16773084918,образование,2,25-50%,1,2,25-50%,50-75%
6287,0,0.12574232796030116,31,среднее,1,гражданский брак,1,F,сотрудник,0,55270.13963845743,образование,1,0-25%,3,2,0-25%,25-50%
6288,1,0.16048809969748637,45,среднее,1,женат / замужем,0,F,компаньон,0,198542.03541264925,автомобиль,0,50-75%,2,1,50-75%,25-50%
6289,2,0.6137586279115173,48,среднее,1,женат / замужем,0,M,сотрудник,0,216533.628283426,жильё,0,75-100%,0,0,50-75%,75-100%
6290,0,0.2771540669071683,58,среднее,1,в разводе,3,F,компаньон,0,174501.57114677946,автомобиль,3,50-75%,2,1,75-100%,50-75%
6291,0,0.02540247603852214,34,высшее,0,гражданский брак,1,M,компаньон,0,203878.9471557836,жильё,1,75-100%,0,0,25-50%,0-25%
6292,0,0.10407755905937305,25,среднее,1,Не женат / не замужем,4,M,сотрудник,0,231812.0091318077,жильё,4,75-100%,0,0,0-25%,25-50%
6293,0,0.33705818254482567,53,среднее,1,в разводе,3,F,сотрудник,1,276281.84180362057,образование,3,75-100%,0,2,75-100%,50-75%
6294,0,0.06201867457856607,47,среднее,1,женат / замужем,0,F,сотрудник,0,196944.2012975201,автомобиль,0,50-75%,2,1,50-75%,0-25%
6295,0,0.39582492038724787,43,среднее,1,женат / замужем,0,F,сотрудник,0,104949.57080989111,образование,0,25-50%,1,2,50-75%,50-75%
6296,2,0.12805002293222656,27,высшее,0,женат / замужем,0,F,сотрудник,0,398037.0046200157,образование,0,75-100%,0,2,0-25%,25-50%
6297,0,0.28219285855473536,32,среднее,1,женат / замужем,0,F,сотрудник,0,115334.54863014464,жильё,0,25-50%,1,0,0-25%,50-75%
6298,0,0.29418538202651673,53,среднее,1,женат / замужем,0,F,сотрудник,0,170230.0573465456,автомобиль,0,50-75%,2,1,75-100%,50-75%
6299,3,0.28589702309123477,40,среднее,1,женат / замужем,0,F,сотрудник,0,176677.4604221048,образование,0,50-75%,2,2,25-50%,50-75%
6300,0,0.03698344467370977,25,среднее,1,Не женат / не замужем,4,M,сотрудник,1,80039.4099362175,жильё,4,0-25%,3,0,0-25%,0-25%
6301,1,0.06122820751587945,29,среднее,1,женат / замужем,0,M,сотрудник,1,142495.36449839608,автомобиль,0,25-50%,1,1,0-25%,0-25%
6302,2,0.15514689215913788,38,среднее,1,женат / замужем,0,F,сотрудник,0,80586.27175759815,жильё,0,0-25%,3,0,25-50%,25-50%
6303,0,0.8476706433925323,57,среднее,1,женат / замужем,0,M,компаньон,0,122860.95018671534,жильё,0,25-50%,1,0,75-100%,75-100%
6305,0,0.022712898499958525,26,высшее,0,в разводе,3,F,компаньон,0,169125.9796185446,жильё,3,50-75%,2,0,0-25%,0-25%
6306,2,0.1273335384902865,30,высшее,0,женат / замужем,0,F,компаньон,0,196428.1293520392,автомобиль,0,50-75%,2,1,0-25%,25-50%
6307,0,33.75097360715836,54,среднее,1,вдовец / вдова,2,F,пенсионер,0,210528.3609236845,жильё,2,75-100%,0,0,75-100%,75-100%
6308,1,0.09212641034640566,22,среднее,1,женат / замужем,0,F,сотрудник,0,100614.02654503367,жильё,0,0-25%,3,0,0-25%,25-50%
6309,0,0.2100563823479472,31,среднее,1,женат / замужем,0,F,сотрудник,0,102295.97087042977,образование,0,0-25%,3,2,0-25%,50-75%
6310,0,0.20386512058906744,52,высшее,0,женат / замужем,0,M,сотрудник,0,233655.03892312065,автомобиль,0,75-100%,0,1,50-75%,50-75%
6311,2,0.21735497296131218,34,среднее,1,гражданский брак,1,F,сотрудник,0,134363.78711475927,свадьба,1,25-50%,1,3,25-50%,50-75%
6313,0,34.53909159709081,64,среднее,1,женат / замужем,0,F,пенсионер,0,94535.97613491707,жильё,0,0-25%,3,0,75-100%,75-100%
6315,0,0.08598177364925479,33,среднее,1,гражданский брак,1,F,сотрудник,0,129765.66347221706,свадьба,1,25-50%,1,3,25-50%,25-50%
6316,0,0.0766858532992034,22,неоконченное высшее,2,гражданский брак,1,F,компаньон,0,86692.45838411053,жильё,1,0-25%,3,0,0-25%,0-25%
6317,0,0.14058197473396425,26,среднее,1,женат / замужем,0,F,сотрудник,0,97709.07161400304,автомобиль,0,0-25%,3,1,0-25%,25-50%
6318,0,33.8724453456064,56,среднее,1,женат / замужем,0,M,пенсионер,0,150995.79597715658,жильё,0,50-75%,2,0,75-100%,75-100%
6319,1,0.1556551846033247,33,среднее,1,женат / замужем,0,M,сотрудник,0,155791.70682514462,образование,0,50-75%,2,2,25-50%,25-50%
6320,0,0.12739602121277613,50,среднее,1,женат / замужем,0,M,сотрудник,0,151754.9213924675,жильё,0,50-75%,2,0,50-75%,25-50%
6321,0,0.13358011625118998,43,среднее,1,женат / замужем,0,F,сотрудник,0,110733.15979827144,автомобиль,0,25-50%,1,1,50-75%,25-50%
6322,2,0.1344808331497438,33,высшее,0,женат / замужем,0,F,сотрудник,0,290709.0961114877,жильё,0,75-100%,0,0,25-50%,25-50%
6323,0,36.59282188892624,56,среднее,1,гражданский брак,1,F,пенсионер,0,381408.65243719815,автомобиль,1,75-100%,0,1,75-100%,75-100%
6325,1,0.45015482642198856,51,среднее,1,гражданский брак,1,F,госслужащий,0,94120.11918350348,свадьба,1,0-25%,3,3,50-75%,50-75%
6326,0,0.4472297775974607,60,среднее,1,женат / замужем,0,F,компаньон,0,128152.9315375758,жильё,0,25-50%,1,0,75-100%,50-75%
6327,0,0.24488649566631704,28,среднее,1,женат / замужем,0,M,компаньон,0,216042.91309218085,автомобиль,0,75-100%,0,1,0-25%,50-75%
6328,1,0.16630577736304375,44,среднее,1,женат / замужем,0,M,сотрудник,0,286482.0017023653,жильё,0,75-100%,0,0,50-75%,25-50%
6329,0,34.013934640805275,66,среднее,1,вдовец / вдова,2,F,пенсионер,0,161994.59363211802,жильё,2,50-75%,2,0,75-100%,75-100%
6330,0,0.032515661482205784,36,среднее,1,Не женат / не замужем,4,M,сотрудник,0,108688.7062474101,автомобиль,4,25-50%,1,1,25-50%,0-25%
6331,1,0.0882553627161372,27,среднее,1,гражданский брак,1,M,сотрудник,0,94435.42403240272,свадьба,1,0-25%,3,3,0-25%,25-50%
6332,0,34.39401264056263,52,высшее,0,гражданский брак,1,F,пенсионер,0,373999.8302845829,жильё,1,75-100%,0,0,50-75%,75-100%
6333,1,0.019797835854845878,42,высшее,0,женат / замужем,0,F,компаньон,0,118906.69120715903,жильё,0,25-50%,1,0,50-75%,0-25%
6334,1,0.2017681202895937,39,среднее,1,женат / замужем,0,M,сотрудник,0,157416.77574169886,жильё,0,50-75%,2,0,25-50%,50-75%
6335,0,32.30375180306849,57,среднее,1,вдовец / вдова,2,F,пенсионер,0,108204.48210227687,образование,2,25-50%,1,2,75-100%,75-100%
6336,0,31.201659305774996,65,среднее,1,женат / замужем,0,F,пенсионер,0,103583.49739033106,жильё,0,25-50%,1,0,75-100%,75-100%
6337,0,0.20974211572671325,53,высшее,0,женат / замужем,0,M,сотрудник,0,160648.85354208518,жильё,0,50-75%,2,0,75-100%,50-75%
6338,0,0.16378284498190868,35,высшее,0,женат / замужем,0,F,компаньон,1,198681.157140242,жильё,0,50-75%,2,0,25-50%,25-50%
6339,0,0.11698534168753465,30,среднее,1,женат / замужем,0,M,сотрудник,0,129495.24027586452,жильё,0,25-50%,1,0,0-25%,25-50%
6340,1,0.4165193934978957,39,среднее,1,женат / замужем,0,M,компаньон,0,132848.3648977902,жильё,0,25-50%,1,0,25-50%,50-75%
6341,1,0.05978213279717152,33,высшее,0,женат / замужем,0,M,сотрудник,0,220374.7981388124,автомобиль,0,75-100%,0,1,25-50%,0-25%
6342,0,0.02566073007718831,22,высшее,0,Не женат / не замужем,4,M,сотрудник,0,140207.18231583864,жильё,4,25-50%,1,0,0-25%,0-25%
6343,0,0.09186346892709195,33,высшее,0,женат / замужем,0,M,сотрудник,0,231720.1548832805,образование,0,75-100%,0,2,25-50%,25-50%
6344,0,0.11930552788707899,20,среднее,1,в разводе,3,M,сотрудник,0,196348.2623178552,жильё,3,50-75%,2,0,0-25%,25-50%
6345,1,0.04303238987933081,31,высшее,0,женат / замужем,0,F,сотрудник,0,166722.20020665767,жильё,0,50-75%,2,0,0-25%,0-25%
6346,1,0.24047683677170453,36,среднее,1,женат / замужем,0,M,сотрудник,0,120255.27489159704,жильё,0,25-50%,1,0,25-50%,50-75%
6347,2,0.2634404380023408,42,среднее,1,женат / замужем,0,F,сотрудник,0,106602.81438017664,жильё,0,25-50%,1,0,50-75%,50-75%
6348,2,0.16090191467153175,45,среднее,1,женат / замужем,0,F,сотрудник,0,102045.74060145835,жильё,0,0-25%,3,0,50-75%,25-50%
6351,0,0.14594532804273844,39,среднее,1,женат / замужем,0,F,сотрудник,0,123145.19326680207,жильё,0,25-50%,1,0,25-50%,25-50%
6352,0,33.012715900087215,64,среднее,1,Не женат / не замужем,4,F,пенсионер,0,291969.8522238363,автомобиль,4,75-100%,0,1,75-100%,75-100%
6353,0,32.71300391949223,63,среднее,1,Не женат / не замужем,4,F,пенсионер,0,128303.98933580822,образование,4,25-50%,1,2,75-100%,75-100%
6354,0,35.1594065049333,43,среднее,1,Не женат / не замужем,4,M,пенсионер,1,95013.28246694025,образование,4,0-25%,3,2,50-75%,75-100%
6355,0,34.13725360864599,61,среднее,1,женат / замужем,0,F,пенсионер,1,53807.78826680269,автомобиль,0,0-25%,3,1,75-100%,75-100%
6356,1,0.2544537329751044,42,среднее,1,женат / замужем,0,M,компаньон,0,305988.56778667466,автомобиль,0,75-100%,0,1,50-75%,50-75%
6357,0,0.05317487412116832,46,высшее,0,Не женат / не замужем,4,M,компаньон,0,173126.37563613633,автомобиль,4,50-75%,2,1,50-75%,0-25%
6358,0,0.05125565487861897,25,среднее,1,Не женат / не замужем,4,M,сотрудник,0,191244.9384530498,жильё,4,50-75%,2,0,0-25%,0-25%
6359,2,0.012326820973596081,29,высшее,0,гражданский брак,1,F,сотрудник,0,270381.7885817822,свадьба,1,75-100%,0,3,0-25%,0-25%
6360,0,0.03731783821759676,30,среднее,1,Не женат / не замужем,4,M,госслужащий,0,129039.26656171946,жильё,4,25-50%,1,0,0-25%,0-25%
6361,2,0.45463860858640853,35,среднее,1,Не женат / не замужем,4,M,сотрудник,0,104969.12959096352,автомобиль,4,25-50%,1,1,25-50%,50-75%
6362,0,0.5000751533844193,53,среднее,1,женат / замужем,0,F,сотрудник,0,132845.2838641819,жильё,0,25-50%,1,0,75-100%,50-75%
6364,1,0.23531880020655158,41,среднее,1,гражданский брак,1,F,сотрудник,0,87199.72710715067,жильё,1,0-25%,3,0,25-50%,50-75%
6367,0,36.35063813141282,48,среднее,1,женат / замужем,0,M,пенсионер,0,94289.63892425755,образование,0,0-25%,3,2,50-75%,75-100%
6368,1,0.09672545707178086,29,высшее,0,женат / замужем,0,M,госслужащий,0,108089.6027813554,жильё,0,25-50%,1,0,0-25%,25-50%
6369,0,0.06224712308770103,29,высшее,0,женат / замужем,0,F,сотрудник,0,36377.3373806833,образование,0,0-25%,3,2,0-25%,0-25%
6370,0,0.03680134863051964,22,среднее,1,Не женат / не замужем,4,M,сотрудник,1,397168.8164830667,автомобиль,4,75-100%,0,1,0-25%,0-25%
6371,0,0.0978438390863249,24,высшее,0,Не женат / не замужем,4,F,сотрудник,0,79597.80271538666,жильё,4,0-25%,3,0,0-25%,25-50%
6372,1,0.30231291422083834,30,среднее,1,Не женат / не замужем,4,M,сотрудник,0,97784.2521273972,жильё,4,0-25%,3,0,0-25%,50-75%
6373,0,0.08642224152272537,55,среднее,1,женат / замужем,0,F,сотрудник,0,177062.92757812046,образование,0,50-75%,2,2,75-100%,25-50%
6374,0,0.07540131168701203,28,среднее,1,гражданский брак,1,M,сотрудник,0,146125.14677553382,автомобиль,1,50-75%,2,1,0-25%,0-25%
6375,0,0.21202642122746465,23,неоконченное высшее,2,Не женат / не замужем,4,F,компаньон,0,123430.12780280074,автомобиль,4,25-50%,1,1,0-25%,50-75%
6376,0,0.2550420494842735,47,высшее,0,женат / замужем,0,F,компаньон,1,165433.98110093808,жильё,0,50-75%,2,0,50-75%,50-75%
6377,1,0.10942294322914108,29,среднее,1,в разводе,3,F,сотрудник,0,153247.66108489555,жильё,3,50-75%,2,0,0-25%,25-50%
6378,0,0.12433700887861089,62,среднее,1,Не женат / не замужем,4,M,сотрудник,0,122157.58250380258,жильё,4,25-50%,1,0,75-100%,25-50%
6379,0,0.29791418537519077,50,среднее,1,гражданский брак,1,F,сотрудник,0,88882.5488675916,жильё,1,0-25%,3,0,50-75%,50-75%
6380,0,0.2498063421607139,30,среднее,1,гражданский брак,1,M,госслужащий,1,108705.13217409766,образование,1,25-50%,1,2,0-25%,50-75%
6381,0,0.3012756146456338,51,высшее,0,Не женат / не замужем,4,F,компаньон,0,339311.7178628111,жильё,4,75-100%,0,0,50-75%,50-75%
6382,2,0.11835003650917841,33,среднее,1,женат / замужем,0,F,сотрудник,0,143501.73086906152,образование,0,25-50%,1,2,25-50%,25-50%
6383,0,35.022517051382664,56,среднее,1,женат / замужем,0,F,пенсионер,0,85245.94361408822,жильё,0,0-25%,3,0,75-100%,75-100%
6384,0,0.2997131827636589,27,среднее,1,Не женат / не замужем,4,M,сотрудник,0,256039.4214039421,автомобиль,4,75-100%,0,1,0-25%,50-75%
6385,1,33.80963253208036,48,среднее,1,вдовец / вдова,2,F,пенсионер,0,36052.44743466148,образование,2,0-25%,3,2,50-75%,75-100%
6386,1,0.7647146308656685,43,среднее,1,женат / замужем,0,M,сотрудник,0,137419.6868301277,автомобиль,0,25-50%,1,1,50-75%,75-100%
6387,0,0.07760403895962643,37,среднее,1,Не женат / не замужем,4,M,сотрудник,0,134813.74076338427,жильё,4,25-50%,1,0,25-50%,0-25%
6388,0,0.07988937640859495,25,высшее,0,женат / замужем,0,F,сотрудник,0,263853.51571333304,жильё,0,75-100%,0,0,0-25%,0-25%
